isqno,war,name,date_start,date_end,duration,attacker,defender,winner,locn
189,Guerra Civil Americana,SECOND BULL RUN (MANASSAS),1862-08-29 05:30:00,1862-08-30 20:00:00,1 days 14:30:00,EE. UU.,Confederación,defender,Virginia
190,Guerra Civil Americana,SOUTH MOUNTAIN,1862-09-14 09:00:00,1862-09-14 22:00:00,0 days 13:00:00,EE. UU.,Confederación,attacker,Maryland
191,Guerra Civil Americana,ANTIETAM (SHARPSBURG),1862-09-17 05:30:00,1862-09-17 16:30:00,0 days 11:00:00,EE. UU.,Confederación,defender,Maryland
192,Guerra Civil Americana,CORINTH,1862-10-03 10:00:00,1862-10-04 13:00:00,1 days 03:00:00,EE. UU.,Confederación,defender,Misisipi
193,Guerra Civil Americana,PERRYVILLE,1862-10-08 14:00:00,1862-10-08 18:00:00,0 days 04:00:00,EE. UU.,Confederación,draw,Kentucky
194,Guerra Civil Americana,FREDERICKSBURG,1862-12-13 11:00:00,1862-12-13 16:00:00,0 days 05:00:00,EE. UU.,Confederación,defender,Virginia
195,Guerra Civil Americana,MURFREESBORO (STONE'S RIVER),1862-12-31 07:00:00,1863-01-02 22:00:00,2 days 15:00:00,Confederación,EE. UU.,draw,Tennessee
196,Guerra Civil Americana,CHANCELLORSVILLE,1863-05-01 11:15:00,1863-05-04 20:30:00,3 days 09:15:00,EE. UU.,Confederación,defender,Virginia
197,Guerra Civil Americana,CHAMPION'S HILL,1863-05-16 10:30:00,1863-05-16 16:00:00,0 days 05:30:00,EE. UU.,Confederación,attacker,Misisipi
198,Guerra Civil Americana,BRANDY STATION,1863-06-09 04:00:00,1863-06-09 16:00:00,0 days 12:00:00,EE. UU.,Confederación,attacker,Virginia
199,Guerra Civil Americana,GETTYSBURG,1863-07-01 10:00:00,1863-07-03 15:00:00,2 days 05:00:00,Confederación,EE. UU.,defender,Pensilvania
200,Guerra Civil Americana,CHICKAMAUGA,1863-09-19 05:30:00,1863-09-20 19:00:00,1 days 13:30:00,Confederación,EE. UU.,attacker,Georgia
201,Guerra Civil Americana,CHATTANOOGA,1863-11-24 10:00:00,1863-11-25 18:00:00,1 days 08:00:00,EE. UU.,Confederación,attacker,Tennessee
202,Guerra Civil Americana,THE WILDERNESS,1864-05-05 07:15:00,1864-05-06 20:00:00,1 days 12:45:00,EE. UU.,Confederación,defender,Virginia
203,Guerra Civil Americana,SPOTSYLVANIA,1864-05-08 00:00:00,1864-05-19 00:00:00,11 days 00:00:00,EE. UU.,Confederación,defender,Virginia
204,Guerra Civil Americana,NEW MARKET,1864-05-15 05:00:00,1864-05-15 16:00:00,0 days 11:00:00,Confederación,EE. UU.,attacker,Virginia
205,Guerra Civil Americana,COLD HARBOR,1864-06-03 04:30:00,1864-06-03 13:30:00,0 days 09:00:00,EE. UU.,Confederación,defender,Virginia
206,Guerra Civil Americana,KENESAW MOUNTAIN,1864-06-27 09:00:00,1864-06-27 11:30:00,0 days 02:30:00,EE. UU.,Confederación,defender,Georgia
207,Guerra Civil Americana,PEACHTREE CREEK,1864-07-20 15:00:00,1864-07-20 18:00:00,0 days 03:00:00,Confederación,EE. UU.,defender,Georgia
208,Guerra Civil Americana,ATLANTA,1864-07-22 12:30:00,1864-07-22 19:30:00,0 days 07:00:00,Confederación,EE. UU.,defender,Georgia
209,Guerra Civil Americana,PETERSBURG,1864-06-15 19:00:00,1864-06-18 20:30:00,3 days 01:30:00,EE. UU.,Confederación,defender,Virginia
